WOS_ID,diversity,interaction,aggregation,self_organization,adaptation,non_linearity,hierarchy,modularity,emergence,scale_dependency,fractality,flow,dynamicity,memory,feedback,hysteresis,non_equilibrium,attractor,homeostasis,stability,resilience,tipping_point,threshold,heterarchy,network
 WOS_000651292500001,66.71798819604824,17.96253528355145,56.453682319733126,0,2.5660764690787787,33.35899409802412,0,0,5.1321529381575575,82.11444701052092,0,0,0,0,0,0,0,0,0,25.660764690787783,2.5660764690787787,0,0,0,2.5660764690787787
 WOS_000689453800028,3.0284675953967293,84.79709267110843,0,0,0,0,0,0,0,3.0284675953967293,0,0,6.0569351907934585,0,0,0,0,0,0,0,0,0,18.170805572380377,0,0
WOS_000074967900004,20.74688796680498,10.37344398340249,0,0,2.5933609958506225,0,0,0,0,31.12033195020747,0,12.966804979253112,23.3402489626556,0,0,0,0,0,0,0,0,0,0,0,0
WOS_000075314900006,0,2.782415136338342,2.782415136338342,0,5.564830272676684,0,0,0,0,0,0,0,5.564830272676684,0,0,0,0,0,0,0,0,0,0,0,0
WOS_000077344700036,0,73.3822548365577,0,0,0,0,0,0,0,0,0,0,3.33555703802535,0,0,0,0,0,0,0,0,0,0,0,0
WOS_000081587400039,0,9.345794392523365,4.672897196261682,11.682242990654204,37.38317757009346,0,70.09345794392523,0,2.336448598130841,37.38317757009346,0,56.074766355140184,30.373831775700936,0,4.672897196261682,0,0,2.336448598130841,0,21.02803738317757,0,0,4.672897196261682,0,2.336448598130841
WOS_000085077200010,7.74233508826262,83.6172189532363,0,0,0,0,0,0,0,92.90802105915144,0,3.096934035305048,24.775472282440383,0,0,0,0,0,0,7.74233508826262,0,0,1.548467017652524,0,0
WOS_000087610500009,1.8477457501847745,12.934220251293421,0,0,3.695491500369549,0,0,1.8477457501847745,3.695491500369549,7.390983000739098,0,1.8477457501847745,1.8477457501847745,0,0,0,0,0,0,0,0,0,0,0,0
WOS_000087859900008,0,9.648784253184099,3.85951370127364,0,1.92975685063682,1.92975685063682,0,0,0,3.85951370127364,0,19.297568506368197,3.85951370127364,0,0,0,0,0,0,0,0,0,0,0,86.83905827865689
WOS_000088988500014,4.62962962962963,9.25925925925926,0,9.25925925925926,4.62962962962963,0,27.77777777777778,0,9.25925925925926,4.62962962962963,0,0,4.62962962962963,0,0,0,0,0,4.62962962962963,0,0,0,0,0,4.62962962962963
WOS_000088990000006,95.93246354566385,15.349194167306216,11.511895625479662,3.837298541826554,3.837298541826554,3.837298541826554,111.28165771297006,3.837298541826554,3.837298541826554,30.69838833461243,0,0,11.511895625479662,0,0,0,0,0,0,3.837298541826554,0,0,0,0,0
WOS_000089071700030,25.751072961373392,8.583690987124463,8.583690987124463,0,8.583690987124463,8.583690987124463,0,0,0,163.09012875536482,0,0,8.583690987124463,0,0,0,0,0,0,0,0,0,0,0,0
WOS_000089733200002,76.92972599187483,58.777768173567296,2.5931368311867926,0,6.915031549831446,0,9.508168381018239,0,2.5931368311867926,21.60947359322327,0,7.779410493560377,95.94606275391132,0,2.5931368311867926,0,0.8643789437289308,0,0,35.439536692886165,60.506526061025156,0,0,0,10.37254732474717
WOS_000167394700008,0,13.915947676036739,0,0,0,16.699137211244086,2.7831895352073475,0,0,5.566379070414695,0,2.7831895352073475,30.615084887280823,0,0,0,0,0,0,2.7831895352073475,0,0,11.13275814082939,0,0
WOS_000167734400008,15.910898965791567,15.910898965791567,0,0,15.910898965791567,7.955449482895784,15.910898965791567,0,0,175.01988862370723,0,23.86634844868735,39.77724741447892,0,0,0,0,0,0,15.910898965791567,0,0,0,0,0
WOS_000169227600013,2.6308866087871614,2.6308866087871614,0,2.6308866087871614,2.6308866087871614,0,7.892659826361484,0,0,5.261773217574323,0,10.523546435148646,7.892659826361484,2.6308866087871614,0,0,0,0,2.6308866087871614,0,0,0,0,0,10.523546435148646
WOS_000169293900008,0,11.26126126126126,0,0,4.504504504504505,0,0,0,0,2.2522522522522523,0,4.504504504504505,0,0,0,0,0,0,0,2.2522522522522523,0,0,2.2522522522522523,0,0
WOS_000169644900043,40.100250626566414,0,10.025062656641603,5.012531328320802,0,0,0,0,0,10.025062656641603,0,0,5.012531328320802,0,0,0,0,0,0,0,0,0,0,0,10.025062656641603
WOS_000171834100002,9.692270414344561,0,7.26920281075842,0,4.8461352071722805,0,0,0,0,21.80760843227526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WOS_000172668200014,2.805049088359046,0,8.41514726507714,0,2.805049088359046,5.610098176718092,8.41514726507714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.050490883590463,0,33.66058906030856
WOS_000174327300002,19.651191353475802,7.369196757553427,0,0,0,0,0,0,0,9.825595676737901,0,0,0,2.4563989191844753,0,0,0,0,0,0,0,0,0,0,0
WOS_000174825800019,0,35.69303985722784,0,0,1.98294665873488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WOS_000175905000002,54.06866720735334,13.517166801838336,8.110300081103,0,2.703433360367667,0,8.110300081103,0,43.25493376588267,232.49526899161935,113.54420113544201,0,32.441200324412,0,2.703433360367667,0,2.703433360367667,0,0,5.406866720735334,0,0,0,0,56.772100567721004
WOS_000175936300013,4.6392948271862675,6.958942240779402,0,0,30.15541637671074,0,0,0,0,4.6392948271862675,0,0,13.917884481558804,0,0,0,0,0,0,0,0,0,0,0,0
WOS_000180822900013,7.575757575757576,26.515151515151516,0,0,0,0,0,3.787878787878788,0,0,0,7.575757575757576,15.151515151515152,0,0,0,0,0,0,0,0,0,0,0,0
WOS_000181482600017,7.180469123982767,21.5414073719483,0,0,9.573958831977022,0,4.786979415988511,0,23.934897079942555,4.786979415988511,0,0,2.3934897079942554,2.3934897079942554,0,0,0,0,0,0,0,0,0,0,0
WOS_000182786900002,78.318219291014,0,0,16.488046166529266,20.61005770816158,0,12.36603462489695,0,4.122011541632316,74.1962077493817,0,12.36603462489695,37.09810387469085,0,4.122011541632316,0,0,0,0,4.122011541632316,12.36603462489695,0,4.122011541632316,0,4.122011541632316
WOS_000182960700003,4.450378282153983,2.2251891410769913,4.450378282153983,0,0,0,0,2.2251891410769913,0,51.17935024477081,0,0,13.35113484646195,0,0,0,0,0,0,0,0,0,0,0,0
WOS_000183394200006,0,15.845070422535212,0,0,7.042253521126761,0,0,21.12676056338028,0,3.5211267605633805,0,5.28169014084507,36.97183098591549,0,3.5211267605633805,0,0,0,0,0,0,0,0,0,0
WOS_000183640900009,7.097232079488999,12.7750177430802,1.4194464158978,0,7.097232079488999,0,0,0,1.4194464158978,53.93896380411639,0,39.7444996451384,14.194464158977999,0,0,0,0,0,0,2.8388928317956,0,0,2.8388928317956,0,2.8388928317956
