lat,long
-73.5749019,45.5047656
-83.7345223,42.2788651
-83.73659839999999,42.27734239999999
-123.2459938,49.26060520000001
-122.9127839,49.2036831
-114.1284117,51.07451409999999
23.7275388,37.9838096
13.5296695,52.4328584
13.3734739,38.1101828
-5.123756699999999,50.1709887
-1.0517718,53.9461089
12.6368665,43.723217
NA,NA
-95.7163918,37.2252585
NA,NA
-97.11519709999999,32.7292117
-3.9799524,51.6092184
51.3975815,35.70359200000001
NA,NA
2.1145793,41.3875175
2.1145793,41.3875175
2.8407068,41.9672203
-86.80277389999999,36.148231
-79.66288709999999,43.548899
-96.70047629999999,40.8201966
NA,NA
-83.7345223,42.2788651
-83.7351533,42.2800159
-83.73659839999999,42.27734239999999
24.9634444,60.20571520000001
153.011206,-27.498156
-80.03845129999999,26.7052576
172.5794354,-43.5224836
-1.0517718,53.9461089
-1.0517718,53.9461089
-1.0548433,53.9458169
11.354157,44.4962318
10.2088543,45.52649359999999
-122.4572591,37.7638026
11.1354885,46.1929033
-78.6820946,35.7846633
-78.6762602,35.7817755
-78.6820946,35.7846633
-78.67626,35.781776
79.926873,6.891490999999999
12.5144384,41.9037626
12.6463848,41.8386703
14.393031,50.102629
13.3269446,52.5125322
-1.8882174,52.4868584
7.0969849,50.7410034
4.3653201,50.838594
NA,NA
-63.59707169999999,44.6373337
-117.9354962,34.0326313
2.1046866,41.5020282
-117.421037,47.7551637
117.887147,-35.027569
-122.2619587,37.8714349
-58.37306949999999,-34.5998875
NA,NA
NA,NA
-73.12396489999999,40.90479620000001
NA,NA
-3.7192798,40.4486372
NA,NA
-3.7192798,40.4486372
-90.3095218,38.6497172
-100.4679385,31.4193953
-2.9706058,43.33140590000001
-0.115997,51.5114864
-85.48786460000001,32.5947794
151.2004942,-33.8832376
NA,NA
-92.61559179999999,16.7050946
-98.8852824,19.4912218
-83.7345223,42.2788651
-83.73659839999999,42.27734239999999
-73.3058812,45.5141248
-97.13310779999999,49.8098804
NA,NA
-84.3099778,35.9311
24.0679765,35.5312702
13.3734739,38.1101828
13.3699231,38.1177261
43.9799236,56.2987949
15.0830304,37.5078772
-80.5448576,43.4722854
11.5851826,49.9261858
NA,NA
153.0148148,-27.4973394
-2.600483000000001,51.4463616
6.2781733,46.4157708
12.6368665,43.723217
4.3826168,50.8119483
NA,NA
NA,NA
-70.6711607,41.5242348
-70.6711607,41.5242348
-76.137861,38.5849648
-119.8435795,34.4118621
-79.4213928,43.6627847
12.3891818,51.3302732
-6.007015399999999,37.4104785
11.9695315,51.4861319
14.4234889,50.0871106
14.4234889,50.0871106
-105.908634,35.700306
NA,NA
-87.5987133,41.7886079
-87.8135276,41.9875511
-87.9788682,41.718281
-87.60270659999999,41.7917114
-87.60108400000001,41.7905681
-79.8739368,43.2490235
-87.60220559999999,41.7911172
-87.6009332,41.7895805
-70.67242089999999,41.5256351
-87.6045212,41.7882973
-87.6015108,41.7902766
-71.092941,42.358577
NA,NA
-117.1519354,32.8015579
-78.4970455,-0.2166266
-76.53337259999999,3.3758083
-66.1617325,18.1179805
-66.7210827,18.2538005
-88.7427628,42.8416843
-78.175277500000007,0.4044186
-89.2198844,13.6982832
-76.53337259999999,3.3758083
21.0122287,52.2296756
-73.9761953,40.7586117
-111.0937311,34.0489281
-111.9355567,33.4205958
-0.1024624,51.5279719
151.1908852,-33.8920791
6.1342988,48.6543335
9.2324209,45.4786698
5.6657696,51.9845558
-122.2596727,37.874132
-122.2644263,37.8725976
NA,NA
NA,NA
138.6062277,-34.920603
138.6053857,-34.9177985
-89.40370829999999,43.0744596
-83.7345223,42.2788651
8.550981199999999,47.3743221
8.550981199999999,47.3743221
8.550981199999999,47.3743221
-79.92015730000001,43.2621688
-96.7842932,32.8288453
-83.7382241,42.2780436
-83.6142374,41.6578804
-97.4457137,35.2058936
-97.44899869999999,35.1944148
18.1672671,40.34956
17.2470303,40.46436060000001
-87.9760228,43.0208694
36.8219462,-1.2920659
-1.2509368,51.7572273
0.123721,52.20182699999999
36.735067,-1.3409189
