ID,lat,lon
1,-73.5749019,45.5047656
2,-83.7345223,42.2788651
3,-83.7365984,42.2773424
4,-123.2459938,49.2606052
5,-122.9127839,49.2036831
6,-114.1284117,51.0745141
7,23.7275388,37.9838096
8,13.5296695,52.4328584
9,13.3734739,38.1101828
10,-5.1237567,50.1709887
11,-5.1237567,50.1709887
12,-1.0517718,53.9461089
13,12.6368665,43.723217
14,-95.7163918,37.2252585
15,-95.7163918,37.2252585
16,-97.1086075,32.7269965
17,-97.1086075,32.7269965
18,-3.9799524,51.6092184
19,-3.9799524,51.6092184
20,51.3975815,35.703592
21,-105.271659,40.007934
22,-105.271659,40.007934
23,-105.271659,40.007934
24,2.8407068,41.9672203
25,-86.8030167,36.1460568
26,-79.6628871,43.548899
27,-96.7004763,40.8201966
28,-83.7345223,42.2788651
29,-83.7351533,42.2800159
30,-83.7365984,42.2773424
31,24.9634711,60.2049747
32,153.0136905,-27.4975028
33,172.5794354,-43.5224836
34,172.5794354,-43.5224836
35,-1.0517718,53.9461089
36,-1.0517718,53.9461089
37,-1.0548433,53.9458169
38,11.1354885,46.1929033
39,11.1354885,46.1929033
40,11.1354885,46.1929033
41,11.1354885,46.1929033
42,-78.6762602,35.7817755
43,-78.6762602,35.7817755
44,-78.6820946,35.7846633
45,-78.6820946,35.7846633
46,79.926873,6.891491
47,12.5144384,41.9037626
48,12.6463848,41.8386703
49,14.393031,50.102629
50,13.3269446,52.5125322
51,-1.8882174,52.4868584
52,7.0969849,50.7410034
53,4.3653201,50.838594
54,-63.5970717,44.6373337
55,2.1046866,41.5020282
56,2.1046866,41.5020282
57,-117.421037,47.7551637
58,117.887147,-35.027569
59,-122.2619587,37.8714349
60,-122.2619587,37.8714349
61,-122.2619587,37.8714349
62,-58.3730695,-34.5998875
63,-58.3730695,-34.5998875
64,-58.3730695,-34.5998875
65,-73.1239649,40.9047962
66,-3.9254365,38.9934998
67,-3.9254365,38.9934998
68,-3.9254365,38.9934998
69,-3.7282107,40.4422842
70,-3.7282107,40.4422842
71,-3.7282107,40.4422842
72,-90.3095218,38.6497172
73,-2.9706058,43.3314059
74,-2.9706058,43.3314059
75,-0.115997,51.5114864
76,-85.4878646,32.5947794
77,151.2004942,-33.8832376
78,NA,NA
79,-92.6155918,16.7050946
80,-98.8852824,19.4912218
81,-83.7345223,42.2788651
82,-83.7365984,42.2773424
83,-97.1366259,49.8075008
84,-97.1366259,49.8075008
85,-84.3099778,35.9311
86,24.0679765,35.5312702
87,13.3734739,38.1101828
88,13.3734739,38.1101828
89,13.3699231,38.1177261
90,13.3699231,38.1177261
91,43.9800176,56.2986684
92,15.0830304,37.5078772
93,-80.5448576,43.4722854
94,11.5851826,49.9261858
95,153.0148148,-27.4973394
96,-2.600483,51.4463616
97,6.2781733,46.4157708
98,12.6368665,43.723217
99,12.6368665,43.723217
100,12.6368665,43.723217
101,4.3826168,50.8119483
102,4.3826168,50.8119483
103,4.3826168,50.8119483
104,-70.6711607,41.5242348
105,-70.6711607,41.5242348
106,-76.137861,38.5849648
